name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Shorm (New Earth),Good Characters,Green Eyes,,Male Characters,,22,2005
Vortex (New Earth),Good Characters,Black Eyes,,Male Characters,,22,2004
Jackson Davies (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,22,2003
Kent Connor (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,22,1997
Lyle Bolton (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,22,1996
Nicholas Bromfield (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,22,1995
Liam McHugh (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,22,1994
Bird (New Earth),,,Blond Hair,Male Characters,,22,1993
Alicia Collins (New Earth),Good Characters,Blue Eyes,Green Hair,Female Characters,,22,1992
Brian Arsala (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,22,1988
Cornelius Stirk (New Earth),Bad Characters,Blue Eyes,,Male Characters,,22,1988
Otis Flannegan (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,22,1988
Walter Johnson I (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,22,1988
Wayne Hawkins (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,22,1988
Andrew Flint (New Earth),Good Characters,,Black Hair,Male Characters,,22,1987
Myndi Mayer (New Earth),Good Characters,,Black Hair,Female Characters,,22,1987
Child and Flaw (New Earth),Bad Characters,,,Male Characters,,22,1986
Geoffrey Thibodeux (New Earth),Bad Characters,Black Eyes,,Male Characters,,22,1985
Norman Paxton (New Earth),Good Characters,,Black Hair,Male Characters,,22,1984
Herbert Winston (New Earth),Good Characters,,Black Hair,Male Characters,,22,1983
Marion Winston (New Earth),Good Characters,,Strawberry Blond Hair,Female Characters,,22,1983
Anton Lamont (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,22,1978
Phobos (New Earth),Bad Characters,Red Eyes,Red Hair,Male Characters,,22,1969
William King (New Earth),Good Characters,,Brown Hair,Male Characters,,22,1966
Ace Arn (New Earth),Good Characters,Black Eyes,White Hair,Male Characters,,22,1965
Abnegazar (New Earth),Bad Characters,Black Eyes,,Male Characters,,22,1962
Santiago Vargas (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,22,1955
David Clark (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,22,1941
Gavril Ivanovich (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,21,2010
John Raymond (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,21,2009
Moses Lwanga (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,21,2008
Ghost Fox Killer (New Earth),Neutral Characters,White Eyes,Black Hair,Female Characters,,21,2006
Jeremy Karne (New Earth),Bad Characters,,Blond Hair,Male Characters,,21,2006
Jonathan Horne (New Earth),,,Brown Hair,Male Characters,,21,2006
Turytt (New Earth),Good Characters,Red Eyes,,Male Characters,,21,2006
Henry Bucher (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,21,2004
Monolith (New Earth),Neutral Characters,,,Male Characters,,21,2004
Avruiskin of Pokolistan (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,21,2001
Ishido Maad (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,21,1998
Fringe (New Earth),Good Characters,White Eyes,White Hair,Male Characters,,21,1997
Delmore Redhorn (New Earth),Bad Characters,,Red Hair,Male Characters,,21,1996
Hero Cruz (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,Homosexual Characters,21,1996
Ringo Chen (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,21,1996
Nora Bromfield (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,21,1995
Anthony Burke (New Earth),Good Characters,,Brown Hair,Male Characters,,21,1993
Leonard Smalls (Dakotaverse),Bad Characters,Brown Eyes,Black Hair,Male Characters,,21,1993
Natalia Dzerchenko (New Earth),,Brown Eyes,Brown Hair,Female Characters,,21,1993
Phantasm II (New Earth),,,,,,21,1992
Keith Robert White (New Earth),,Brown Eyes,Black Hair,Male Characters,,21,1991
Rafael Sandoval (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,21,1989
Andre Blanc-Dumont (New Earth),,Green Eyes,Brown Hair,Male Characters,,21,1988
Donna Cabot (New Earth),Good Characters,,Brown Hair,Female Characters,,21,1988
Elizabeth Clawman (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,21,1988
Kyle Spencer (New Earth),Good Characters,,Blond Hair,Male Characters,,21,1988
Marie Payton (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,21,1988
Mitchell Hoberman (New Earth),Good Characters,,Red Hair,Male Characters,,21,1988
Adam Grant (New Earth),Neutral Characters,,Blond Hair,Male Characters,,21,1987
"Alice, Daily Planet (New Earth)",Good Characters,,Red Hair,Female Characters,,21,1987
Ivana Christina Borodin Molotova (New Earth),Bad Characters,Brown Eyes,Red Hair,Female Characters,,21,1987
Tawny Young (New Earth),Neutral Characters,,,Female Characters,,21,1984
Bethany Snow (New Earth),Bad Characters,Blue Eyes,Red Hair,Female Characters,,21,1982
Mary Seward (New Earth),Bad Characters,Red Eyes,Red Hair,Female Characters,,21,1981
Vernon Questor (New Earth),,,Black Hair,Male Characters,,21,1981
Quentin Turnbull (New Earth),Bad Characters,,White Hair,Male Characters,,21,1974
Charity (New Earth),Good Characters,,,Female Characters,,21,1972
Doctor Moon (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,21,1972
Himon (New Earth),Neutral Characters,Blue Eyes,White Hair,Male Characters,,21,1972
Cynthia of the Kindly Ones (New Earth),Neutral Characters,,,Female Characters,,21,1969
Benjamin Hunter (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,21,1967
Marcus of Rome (New Earth),,Blue Eyes,Black Hair,Male Characters,,21,1955
Steven Sharpe III (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,,21,1944
Stretch Skinner (New Earth),Neutral Characters,,Brown Hair,Male Characters,,21,1942
Winston Churchill (New Earth),Good Characters,,Grey Hair,Male Characters,,21,1942
Roy Lincoln (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,21,1941
Khufu (New Earth),Good Characters,,Blond Hair,Male Characters,,21,1940
Lois Lane Robot (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,20,2010
Bounder (New Earth),Good Characters,,,Male Characters,,20,2009
Ciji (New Earth),Good Characters,Green Eyes,Brown Hair,Female Characters,,20,2009
Robert Dickering (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,20,2009
Smite (New Earth),Bad Characters,,,Male Characters,,20,2009
Tamara Fox (New Earth),Good Characters,,Black Hair,Female Characters,,20,2009
Copper (New Earth),Good Characters,Photocellular Eyes,,Female Characters,,20,2007
Tekik (New Earth),Bad Characters,Photocellular Eyes,,,,20,2007
James Lenahan (New Earth),Good Characters,Brown Eyes,Blond Hair,Male Characters,,20,2005
Jillian Pearlman (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,20,2005
Lup\u00e9 Teresa Leocadio-Escudero (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,20,2004
Aaron Cash (New Earth),Good Characters,,Black Hair,Male Characters,,20,2003
Ashley Zolomon (New Earth),Good Characters,,Brown Hair,Female Characters,,20,2003
Ferdinand (New Earth),Good Characters,,,Male Characters,,20,2003
Jonah McCarthy (New Earth),Neutral Characters,,Brown Hair,Male Characters,,20,2003
Daniel Tsang (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,20,2002
Josiah Power (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,Homosexual Characters,20,2002
Cindy Burman (New Earth),Bad Characters,Green Eyes,Brown Hair,Female Characters,,20,1999
Synnar II (New Earth),Bad Characters,,Black Hair,Male Characters,,20,1998
Sofia Falcone (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,20,1997
Kenneth Braverman (New Earth),Bad Characters,Hazel Eyes,,Male Characters,,20,1994
Charles Wylde (New Earth),Good Characters,,Brown Hair,Male Characters,,20,1993
Mardin (New Earth),Good Characters,,Purple Hair,Female Characters,,20,1993
Raelene Sharp (New Earth),Neutral Characters,,Brown Hair,Female Characters,,20,1993
Sharon Hawkins (Dakotaverse),Good Characters,Brown Eyes,Brown Hair,Female Characters,,20,1993
Trogg (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,20,1993
Zombie (New Earth),Bad Characters,Brown Eyes,,Male Characters,,20,1993
Kit Ryan (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,20,1991
Lynx (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,20,1991
Dreamslayer (New Earth),Bad Characters,,,Male Characters,,20,1990
Ernest Clay (New Earth),Bad Characters,,Brown Hair,Male Characters,,20,1990
Desire (New Earth),Neutral Characters,Yellow Eyes,,Genderless Characters,Bisexual Characters,20,1989
Dominic Mndawe (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,20,1989
Jeffrey Goslin (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,20,1987
Margaret Adam (New Earth),,Blue Eyes,Blond Hair,Female Characters,,20,1987
Siegfried Horatio Hunch III (New Earth),Good Characters,,Black Hair,Male Characters,,20,1986
Wenonah Littlebird (New Earth),Good Characters,,Black Hair,Female Characters,,20,1986
Themis (New Earth),Neutral Characters,Blue Eyes,Grey Hair,Female Characters,,20,1985
Thia (New Earth),Neutral Characters,Red Eyes,Red Hair,Female Characters,,20,1985
Arnold Pruett (New Earth),Bad Characters,Red Eyes,Red Hair,Male Characters,,20,1984
Anton Knight (Earth-One),Bad Characters,Blue Eyes,Red Hair,Male Characters,,20,1983
Gregor Markov (New Earth),Good Characters,,Brown Hair,Male Characters,,20,1983
Jonathan Davis (New Earth),Good Characters,,Brown Hair,Male Characters,,20,1983
J.A.K.E. II (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,20,1982
Mara (New Earth),Good Characters,Violet Eyes,Blond Hair,Female Characters,,20,1982
Deborah Dancer (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,20,1981
Silas Stone (New Earth),,,Black Hair,Male Characters,,20,1980
Rebecca Langstrom (New Earth),Good Characters,,Blond Hair,Female Characters,,20,1978
Forager I (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,20,1972
Gilotina (New Earth),Bad Characters,Blue Eyes,Platinum Blond Hair,Female Characters,,20,1972
Ona Tornsen (New Earth),Good Characters,,Black Hair,Female Characters,,20,1972
Edward Deacon (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,20,1971
Simyan (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,20,1971
Mildred of the Kindly Ones (New Earth),Neutral Characters,,,Female Characters,,20,1969
Don Allen (New Earth),,Blue Eyes,Red Hair,Male Characters,,20,1968
Michael Payson Maxwell (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,20,1967
Chun Yull (New Earth),Bad Characters,,,Male Characters,,20,1961
Bulldozer Smith (New Earth),Good Characters,,Strawberry Blond Hair,Male Characters,,20,1960
Richard Raleigh (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,20,1940
Adrian Paratino (New Earth),Good Characters,,Black Hair,Male Characters,,19,2009
Xylon (New Earth),Good Characters,Black Eyes,,Male Characters,,19,2009
Markus Clay (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,19,2008
Lady Styx (New Earth),Bad Characters,Yellow Eyes,,Female Characters,,19,2006
Thomas Jagger (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,19,2006
Vandor (New Earth),Good Characters,,White Hair,Male Characters,,19,2006
Yao Fei (New Earth),,Black Eyes,Black Hair,Male Characters,,19,2006
Alice Cohen II (New Earth),Neutral Characters,,Red Hair,Female Characters,,19,2004
Daniel Brickwell (New Earth),,Red Eyes,White Hair,Male Characters,,19,2004
"Samuel Bradley, Jr. (New Earth)",,Brown Eyes,Brown Hair,Male Characters,,19,2004
Leslie Anderson (New Earth),,,Brown Hair,Female Characters,,19,2003
Nelson Crowe (New Earth),Good Characters,,Blond Hair,Male Characters,,19,2003
Romy Chandler (New Earth),Good Characters,,Red Hair,Female Characters,,19,2003
David Hersch (New Earth),Bad Characters,Blue Eyes,,Male Characters,,19,2001
Manchester Black (New Earth),Bad Characters,Brown Eyes,Purple Hair,Male Characters,,19,2001
Cerdian (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,19,2000
Ignition (New Earth),Bad Characters,,,Male Characters,,19,2000
Barbara Whitmore (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,19,1999
Mario Falcone (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,19,1999
Maximillian Deville (New Earth),Good Characters,,Black Hair,Male Characters,,19,1998
Rita Lopez (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,19,1997
Alberto Falcone (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,19,1996
Byron Stark (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,19,1996
Deborah Perkins (New Earth),Good Characters,,Blue Hair,Female Characters,,19,1996
Kaliber II (New Earth),Good Characters,Black Eyes,,Male Characters,,19,1996
Sonar III (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,,19,1995
Alexandra DeWitt (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,,19,1994
Gunbunny (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,19,1994
John Chan (New Earth),Good Characters,,,Male Characters,,19,1994
Edward Walker (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,19,1993
Hendricks (New Earth),Good Characters,,Brown Hair,Male Characters,,19,1993
Kate Godwin (New Earth),Good Characters,Brown Eyes,Blond Hair,Female Characters,,19,1993
Kelvin Mao (New Earth),Good Characters,Yellow Eyes,Black Hair,Male Characters,,19,1993
Ahti (New Earth),Good Characters,,,Female Characters,,19,1992
Bast (New Earth),,,,Female Characters,,19,1991
Darius (New Earth),Good Characters,,,Male Characters,,19,1991
Elizabeth Alderman (New Earth),Bad Characters,Black Eyes,Black Hair,Female Characters,,19,1991
Samuel Foswell (New Earth),Good Characters,,,Male Characters,,19,1991
Carol Simon (New Earth),,,,Female Characters,,19,1989
Carlo Sirianni (New Earth),,Brown Eyes,Red Hair,Male Characters,,19,1988
Ivan Illyich Gort (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,19,1988
Scott Fischer (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,19,1988
Mnemosyne II (New Earth),Good Characters,,Brown Hair,Female Characters,,19,1987
Brimstone (New Earth),Bad Characters,Yellow Eyes,,Male Characters,,19,1986
Maxwell Fisher (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,19,1986
Melody Case (New Earth),Neutral Characters,Green Eyes,Red Hair,Female Characters,,19,1986
Nadia Safir (New Earth),Neutral Characters,,,Female Characters,,19,1986
Jonni Thunder (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,,19,1985
Alan Welles (New Earth),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,19,1984
Christopher Weiss (New Earth),Bad Characters,Blue Eyes,,Male Characters,,19,1984
Clay Kendall (New Earth),Good Characters,,Blond Hair,Male Characters,,19,1984
Maude Stone (New Earth),Good Characters,Brown Eyes,White Hair,Female Characters,,19,1984
Shakedown (New Earth),Bad Characters,Green Eyes,,Male Characters,,19,1984
Tucker Stone (New Earth),Good Characters,Brown Eyes,White Hair,Male Characters,,19,1984
Joan Lincoln (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,19,1983
Duarmzshee-Paan (New Earth),Bad Characters,Red Eyes,Green Hair,Female Characters,,19,1981
Gaea (New Earth),Neutral Characters,,,Female Characters,,19,1981
Galius Zed (New Earth),Good Characters,Black Eyes,,Male Characters,,19,1981
Carl Draper (New Earth),,,,Male Characters,,19,1979
Jonathan Drew (New Earth),,,,Male Characters,,19,1976
Val Kaliban (New Earth),Bad Characters,Blue Eyes,,Male Characters,,19,1973
Tala (New Earth),Bad Characters,,Black Hair,Female Characters,,19,1969
Dawn Allen (New Earth),,Blue Eyes,Red Hair,Female Characters,,19,1968
Brute (New Earth),Good Characters,,Red Hair,Male Characters,,19,1967
Juggler (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,19,1967
Snake-Oil (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,19,1967
Swinger (New Earth),Good Characters,Blue Eyes,,Male Characters,,19,1967
Fisherman (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,19,1965
Roger Denning (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,19,1965
Axel Storm (New Earth),Bad Characters,,Black Hair,Male Characters,,19,1964
Garguax (New Earth),Bad Characters,Red Eyes,,Male Characters,,19,1964
Ira West (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,,19,1963
Jackie Johnson (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,19,1961
Herupa Hando Hu (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,19,1960
Marie Leeds (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,19,1951
Rose Canton (New Earth),Bad Characters,Black Eyes,Blond Hair,Female Characters,,19,1947
Jonathan Cheval (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,19,1945
Leslie Humphries (New Earth),Good Characters,,Black Hair,Male Characters,,19,1939
Hadley Jaggar (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,19,
Nergal (New Earth),Bad Characters,Yellow Eyes,,Male Characters,,19,
Bruce Wayne Clone (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,18,2009
Tallulah Black (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,18,2007
Leslie Willis (New Earth),Good Characters,,Blue Hair,Female Characters,,18,2006
Peter Garibaldi (New Earth),Good Characters,Blue Eyes,,Male Characters,,18,2003
Alexander Montez (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,18,2001
Trevor Barnes (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,18,2001
Brainiac 13 (New Earth),Bad Characters,,,Male Characters,,18,2000
Plunder (New Earth),Bad Characters,Black Eyes,Brown Hair,Male Characters,,18,2000
Thomas Burke (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,18,2000
Vincent Del Arrazio (New Earth),Good Characters,,,Male Characters,,18,2000
Eye (New Earth),Good Characters,,Blond Hair,Female Characters,,18,1998
Anne Fletcher (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,18,1997
Scott Tucker (New Earth),Good Characters,,Blond Hair,Male Characters,,18,1997
Jake Ketchum (New Earth),Good Characters,,Red Hair,Male Characters,,18,1996
Dudley H. Dudley (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,18,1995
Meridian Mychaels (New Earth),Good Characters,,Brown Hair,Female Characters,,18,1994
Annie Bonelli (New Earth),Good Characters,Blue Eyes,Brown Hair,Female Characters,,18,1993
Munchukk (New Earth),Good Characters,,,Male Characters,,18,1993
Amanita (New Earth),Good Characters,Brown Eyes,,Male Characters,,18,1992
Amy Beitermann (New Earth),,Black Eyes,Black Hair,Female Characters,,18,1992
John Flint (New Earth),Good Characters,,Brown Hair,Male Characters,,18,1992
Shondra Kinsolving (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,18,1992
Golem (New Earth),Good Characters,,,Male Characters,,18,1991
Mary Frazier (New Earth),Good Characters,,Grey Hair,Female Characters,,18,1991
Magdalene Kyle (New Earth),Neutral Characters,Green Eyes,Brown Hair,Female Characters,,18,1989
J. Daniel Murphy (New Earth),Good Characters,,Red Hair,Male Characters,,18,1988
Driq (New Earth),Good Characters,,,Male Characters,,18,1987
Jerry White (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,18,1987
Susan King (New Earth),Neutral Characters,,Blond Hair,Female Characters,,18,1987
Thomas Emery (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,18,1987
Margaret Pye (New Earth),Bad Characters,Blue Eyes,Red Hair,Female Characters,,18,1986
Coeus (New Earth),Neutral Characters,,Blue Hair,,,18,1985
Michael Dugan (New Earth),Neutral Characters,Green Eyes,Red Hair,Male Characters,,18,1985
Leah Wasserman (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,,18,1984
Norman Brawler (New Earth),Good Characters,,Brown Hair,Male Characters,,18,1984
Overmaster (New Earth),Bad Characters,Red Eyes,,Male Characters,,18,1984
Gan Williams (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,18,1983
Jake Simmons (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,18,1983
Tavis Williams (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,18,1983
Daniel Cormac (New Earth),Good Characters,,Red Hair,Male Characters,,18,1982
Garn Daanuth (New Earth),Bad Characters,White Eyes,White Hair,Male Characters,,18,1982
Jack of Spades III (New Earth),Bad Characters,,Blond Hair,Male Characters,,18,1982
Malet Dasim (New Earth),Good Characters,,,Male Characters,,18,1980
Kari Limbo (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,18,1979
Crystal Frost (New Earth),,Blue Eyes,Blue Hair,Female Characters,,18,1978
Katherine Manser (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,18,1978
Iris Jacobs (New Earth),,,Red Hair,Female Characters,,18,1976
Cranius (New Earth),Bad Characters,,,Male Characters,,18,1973
Gregori Arcane (New Earth),Neutral Characters,,Black Hair,Male Characters,,18,1973
Master Jansen (New Earth),Good Characters,,,Male Characters,,18,1972
Starbreaker (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,18,1972
Ted Brown (New Earth),Good Characters,,,Male Characters,,18,1972
Mordred of the Kindly Ones (New Earth),Neutral Characters,,White Hair,Female Characters,,18,1969
Cleveland Brand (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,18,1968
Irwin Hall (New Earth),Good Characters,,Grey Hair,Male Characters,,18,1968
Edward Dawson (New Earth),Bad Characters,Brown Eyes,Red Hair,Male Characters,,18,1967
Light Fingers (New Earth),Good Characters,,Red Hair,Male Characters,,18,1967
Urania Blackwell (New Earth),Good Characters,Black Eyes,Green Hair,Female Characters,,18,1967
Nameless (New Earth),Good Characters,Photocellular Eyes,,Female Characters,,18,1965
Slim Kilkenny Stryker (New Earth),Good Characters,,Brown Hair,Male Characters,,18,1961
Karin Grace (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,18,1959
Thomas Curry (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,18,1959
Gudra (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,18,1946
Turtle (New Earth),Bad Characters,Blue Eyes,Grey Hair,Male Characters,,18,1945
Wanda Wilson (New Earth),Good Characters,,Brown Hair,Female Characters,,18,1942
Julie Madison (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,18,1939
Lancelot (New Earth),Good Characters,,,Male Characters,,18,1936
Butcher (New Earth),Bad Characters,,,,,17,2010
Carla Moretti (New Earth),Bad Characters,,Brown Hair,Female Characters,,17,2010
Entity (New Earth),Good Characters,,,,,17,2010
Eric Moran (Prime Earth),Neutral Characters,,Black Hair,Male Characters,,17,2010
Achilles Warkiller (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,Homosexual Characters,17,2009
Frank Verrano (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,17,2009
Low (New Earth),Bad Characters,,,Male Characters,,17,2007
Marvin Kuttler (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,17,2006
Nadia (New Earth),Good Characters,,Black Hair,Female Characters,,17,2006
Shaolin Robot (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,17,2006
Tilt Shimura (New Earth),Good Characters,,,Female Characters,,17,2004
Onomatopoeia (New Earth),Bad Characters,,Brown Hair,Male Characters,,17,2002
Alexander Nero (New Earth),Bad Characters,Black Eyes,Red Hair,Male Characters,,17,2001
Veronica Sinclair (New Earth),Bad Characters,Green Eyes,Red Hair,Female Characters,,17,2001
Aubrey Sparks (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,17,2000
Dagmar Procjnow (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,17,2000
Doctor Poison II (New Earth),Bad Characters,Grey Eyes,Black Hair,Female Characters,,17,1999
Johnny Sorrow (New Earth),Bad Characters,,,Male Characters,,17,1999
Walker Gabriel (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,17,1998
Alan Wayne (New Earth),Good Characters,,Black Hair,Male Characters,,17,1997
Benjamin Newton (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,,17,1997
Frostbite (New Earth),Good Characters,Blue Eyes,Blue Hair,Male Characters,Bisexual Characters,17,1997
Jeremy Horton (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,17,1997
Magala (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,17,1997
Frederick von Frankenstein (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,17,1996
Ross Richman (New Earth),Good Characters,Black Eyes,,Male Characters,,17,1996
Radu Stancu (New Earth),Good Characters,,,Male Characters,,17,1994
Jean Hawkins (Dakotaverse),Good Characters,Brown Eyes,Brown Hair,Female Characters,,17,1993
Mace Gardner (New Earth),Bad Characters,Green Eyes,Red Hair,Male Characters,,17,1993
Vari Dzerchenko (New Earth),,,Brown Hair,Male Characters,,17,1993
Mitchell Anderson (New Earth),Good Characters,,Brown Hair,Male Characters,,17,1992
Delirium (New Earth),Neutral Characters,,,Female Characters,,17,1990
Gorgon (New Earth),Bad Characters,,,Male Characters,,17,1990
Marianne (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,17,1990
Martin Jordan (New Earth),Good Characters,,Brown Hair,Male Characters,,17,1989
Petey the Demon (New Earth),Good Characters,,,Male Characters,,17,1988
Albrecht von Mannheim (New Earth),Good Characters,,Brown Hair,Male Characters,,17,1987
Catalyst (New Earth),Bad Characters,,Black Hair,Male Characters,,17,1987
Louis Godder (New Earth),Good Characters,,Black Hair,Male Characters,,17,1987
Randall Adam (New Earth),,Blue Eyes,Brown Hair,Male Characters,,17,1987
Conrad Carapax (New Earth),Bad Characters,,,Male Characters,,17,1986
David Winston (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,17,1985
Oceanus (New Earth),Neutral Characters,,,Male Characters,,17,1985
Tethys (New Earth),Neutral Characters,Green Eyes,Green Hair,Female Characters,,17,1985
Trouble (New Earth),Good Characters,Black Eyes,White Hair,Male Characters,,17,1985
Dale Gunn (New Earth),Good Characters,,Black Hair,Male Characters,,17,1984
James Lockhart (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,17,1984
Jock Verner (New Earth),Neutral Characters,,Brown Hair,Male Characters,,17,1984
Vanessa van Helsing (New Earth),Neutral Characters,,Red Hair,Female Characters,,17,1982
Eddore (New Earth),Good Characters,Red Eyes,,Male Characters,,17,1981
Hyperion (New Earth),Neutral Characters,,,Male Characters,,17,1981
Mikola Rostov (New Earth),Good Characters,,Brown Hair,Male Characters,,17,1981
Mnemosyne (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,17,1981
Penelops (New Earth),Good Characters,Blue Eyes,,Male Characters,,17,1981
Tisiphone (New Earth),Bad Characters,,,Female Characters,,17,1981
